edad;peso;talla;sexo;provincia
18;66.4;163.5;HOMBRE;CASTELLÓN
18;68.7;172;HOMBRE;CASTELLÓN
24;76.7;170;HOMBRE;ALICANTE
17;55.6;160;MUJER;CASTELLÓN
16;46.6;163.5;MUJER;CASTELLÓN
15;58.6;166.5;MUJER;ALICANTE
15;58.5;164;MUJER;CASTELLÓN
19;69;158.5;MUJER;CASTELLÓN
25;55.2;174;HOMBRE;CASTELLÓN
34;76;181.5;HOMBRE;CASTELLÓN
26;59;164;MUJER;CASTELLÓN
25;47.7;156;MUJER;ALICANTE
25;65.4;157.5;MUJER;CASTELLÓN
48;73.4;168;HOMBRE;CASTELLÓN
36;80.1;171;HOMBRE;ALICANTE
45;88.9;171;HOMBRE;CASTELLÓN
43;62.5;166;MUJER;CASTELLÓN
39;55.5;156.5;MUJER;CASTELLÓN
35;67.9;161;MUJER;CASTELLÓN
47;70;154;MUJER;ALICANTE
62;78.7;158;HOMBRE;CASTELLÓN
54;67.1;164;HOMBRE;ALICANTE
50;70.5;161;HOMBRE;ALICANTE
59;86.4;174;HOMBRE;CASTELLÓN
57;91;166.5;HOMBRE;ALICANTE
63;76.9;160;HOMBRE;ALICANTE
63;;;MUJER;ALICANTE
63;77;159;MUJER;ALICANTE
53;70.1;158;MUJER;CASTELLÓN
61;64;164.5;MUJER;ALICANTE
54;57.2;148;MUJER;CASTELLÓN
71;70;160;HOMBRE;CASTELLÓN
79;57;159;HOMBRE;ALICANTE
73;83.2;167;HOMBRE;ALICANTE
80;80;160;MUJER;CASTELLÓN
89;59.9;143;MUJER;ALICANTE
69;66;151.5;MUJER;CASTELLÓN
76;53.1;152.5;MUJER;ALICANTE
15;93;181.5;HOMBRE;ALICANTE
15;53;168;HOMBRE;ALICANTE
20;;;HOMBRE;ALICANTE
22;76.6;169.5;HOMBRE;ALICANTE
22;65.1;172;HOMBRE;ALICANTE
15;89.5;171.5;HOMBRE;ALICANTE
17;62.2;172;HOMBRE;ALICANTE
15;67;170;HOMBRE;ALICANTE
17;57;176;HOMBRE;ALICANTE
15;56.6;168;HOMBRE;ALICANTE
19;68.5;187.5;HOMBRE;ALICANTE
17;60.8;171.5;HOMBRE;ALICANTE
15;56.3;173.5;HOMBRE;ALICANTE
15;58.5;173;HOMBRE;ALICANTE
21;65;173;HOMBRE;ALICANTE
18;61.2;166;HOMBRE;ALICANTE
17;58.1;168.5;HOMBRE;ALICANTE
21;65.2;176;HOMBRE;ALICANTE
21;65;173;HOMBRE;ALICANTE
16;76.3;190;HOMBRE;ALICANTE
21;65.8;178;HOMBRE;ALICANTE
18;79.7;189;HOMBRE;ALICANTE
20;68;175.5;HOMBRE;ALICANTE
18;62.8;175;HOMBRE;ALICANTE
20;76.8;189;HOMBRE;ALICANTE
21;71;176.5;HOMBRE;ALICANTE
20;63;172;HOMBRE;ALICANTE
18;61.4;168;HOMBRE;ALICANTE
15;62.3;167;HOMBRE;ALICANTE
15;66;171.5;HOMBRE;ALICANTE
24;68;170;HOMBRE;ALICANTE
22;74;174;HOMBRE;ALICANTE
20;65.3;169.5;HOMBRE;ALICANTE
15;75.8;175;HOMBRE;ALICANTE
22;70.3;170;HOMBRE;ALICANTE
17;73.3;174;HOMBRE;ALICANTE
23;89.1;180;HOMBRE;ALICANTE
16;70.7;162;HOMBRE;ALICANTE
24;85.7;175;HOMBRE;ALICANTE
24;64.4;161;MUJER;ALICANTE
16;57.2;156.2;MUJER;ALICANTE
22;75.2;165;MUJER;ALICANTE
21;;;MUJER;ALICANTE
23;65;154.5;MUJER;ALICANTE
24;43.3;154.5;MUJER;ALICANTE
22;54.7;155;MUJER;ALICANTE
23;42.8;151.5;MUJER;ALICANTE
18;52.4;164;MUJER;ALICANTE
18;47.7;162;MUJER;ALICANTE
15;49;166.3;MUJER;ALICANTE
17;47.8;160;MUJER;ALICANTE
19;45.2;155;MUJER;ALICANTE
20;52.3;168;MUJER;ALICANTE
17;59.6;172;MUJER;ALICANTE
18;53.3;161.5;MUJER;ALICANTE
17;49;158.5;MUJER;ALICANTE
22;46.5;156;MUJER;ALICANTE
24;49.8;155;MUJER;ALICANTE
23;52;160.3;MUJER;ALICANTE
21;56.4;162;MUJER;ALICANTE
23;52.4;157;MUJER;ALICANTE
17;53.1;159.7;MUJER;ALICANTE
17;60.4;170;MUJER;ALICANTE
21;52.4;159.5;MUJER;ALICANTE
21;80;180.3;MUJER;ALICANTE
16;62.3;168;MUJER;ALICANTE
17;64.5;161.3;MUJER;ALICANTE
16;53.1;156;MUJER;ALICANTE
20;57.5;160;MUJER;ALICANTE
19;58.5;163;MUJER;ALICANTE
21;67;160;MUJER;ALICANTE
20;63.8;164;MUJER;ALICANTE
17;64.4;163;MUJER;ALICANTE
23;67.7;171;MUJER;ALICANTE
19;65.9;163;MUJER;ALICANTE
21;58;156;MUJER;ALICANTE
17;61.2;156;MUJER;ALICANTE
20;72.7;164.5;MUJER;ALICANTE
20;71.6;161;MUJER;ALICANTE
16;71.5;166;MUJER;ALICANTE
33;62.5;171.5;HOMBRE;ALICANTE
34;70.3;179.5;HOMBRE;ALICANTE
29;89.2;173;HOMBRE;ALICANTE
33;51.3;156;HOMBRE;ALICANTE
32;69.3;168.1;HOMBRE;ALICANTE
34;71;174;HOMBRE;ALICANTE
32;77.8;179.5;HOMBRE;ALICANTE
32;82.2;184;HOMBRE;ALICANTE
34;80.6;174.5;HOMBRE;ALICANTE
25;80.4;177.5;HOMBRE;ALICANTE
32;67.4;157.5;HOMBRE;ALICANTE
33;78;174;HOMBRE;ALICANTE
32;80.3;173.5;HOMBRE;ALICANTE
33;78.3;165.5;HOMBRE;ALICANTE
31;76.4;159;HOMBRE;ALICANTE
33;89;169.3;HOMBRE;ALICANTE
29;65.1;166.5;MUJER;ALICANTE
27;63;158;MUJER;ALICANTE
28;61.5;170;MUJER;ALICANTE
33;54.6;164.7;MUJER;ALICANTE
27;51.2;145;MUJER;ALICANTE
30;61.4;161;MUJER;ALICANTE
33;81;153;MUJER;ALICANTE
34;64.4;156.5;MUJER;ALICANTE
32;60.5;156;MUJER;ALICANTE
29;77.2;165;MUJER;ALICANTE
26;52.8;167;MUJER;ALICANTE
27;48;162.5;MUJER;ALICANTE
25;45.6;156.5;MUJER;ALICANTE
27;57.2;163.5;MUJER;ALICANTE
33;53.8;163.3;MUJER;ALICANTE
32;50.6;160;MUJER;ALICANTE
25;51;159.5;MUJER;ALICANTE
27;51.4;153.6;MUJER;ALICANTE
28;53.7;155;MUJER;ALICANTE
30;58.4;163;MUJER;ALICANTE
33;50.1;152.3;MUJER;ALICANTE
31;49.8;150;MUJER;ALICANTE
31;59;159;MUJER;ALICANTE
25;51.3;153.5;MUJER;ALICANTE
28;59;158.5;MUJER;ALICANTE
26;59.5;159;MUJER;ALICANTE
33;59.6;157.5;MUJER;ALICANTE
28;55;156;MUJER;ALICANTE
30;64;167;MUJER;ALICANTE
30;64;160;MUJER;ALICANTE
34;68.3;162;MUJER;ALICANTE
30;76.6;160;MUJER;ALICANTE
33;94.4;160.1;MUJER;ALICANTE
32;65.2;164;MUJER;ALICANTE
37;75.8;175;HOMBRE;ALICANTE
45;49.9;160;HOMBRE;ALICANTE
48;;;HOMBRE;ALICANTE
47;;;HOMBRE;ALICANTE
38;71.4;167;HOMBRE;ALICANTE
49;58.7;167;HOMBRE;ALICANTE
39;77.6;182.5;HOMBRE;ALICANTE
48;78.3;170.5;HOMBRE;ALICANTE
46;90.5;172;HOMBRE;ALICANTE
36;66.4;173.5;HOMBRE;ALICANTE
44;66;174.3;HOMBRE;ALICANTE
38;77.6;180.5;HOMBRE;ALICANTE
37;71;179;HOMBRE;ALICANTE
36;72.8;173.5;HOMBRE;ALICANTE
49;77.5;172;HOMBRE;ALICANTE
48;73.6;165;HOMBRE;ALICANTE
36;71;167;HOMBRE;ALICANTE
35;78;175;HOMBRE;ALICANTE
40;65.7;163.5;HOMBRE;ALICANTE
47;72.4;169;HOMBRE;ALICANTE
42;75.1;171;HOMBRE;ALICANTE
43;76.4;162.5;HOMBRE;ALICANTE
45;69.5;162;HOMBRE;ALICANTE
48;62.4;155.5;HOMBRE;ALICANTE
45;75.5;168.5;HOMBRE;ALICANTE
42;96.4;180.5;HOMBRE;ALICANTE
35;90.6;172;HOMBRE;ALICANTE
46;90;161;HOMBRE;ALICANTE
49;112.2;177;HOMBRE;ALICANTE
48;113.8;157;HOMBRE;ALICANTE
47;62.6;157.4;MUJER;ALICANTE
46;48.4;154.5;MUJER;ALICANTE
45;56.6;159.4;MUJER;ALICANTE
45;94.8;153;MUJER;ALICANTE
46;74;158;MUJER;ALICANTE
40;66;162.5;MUJER;ALICANTE
40;84.2;165;MUJER;ALICANTE
42;50.3;154;MUJER;ALICANTE
41;55;153;MUJER;ALICANTE
47;75.4;154.5;MUJER;ALICANTE
44;62.2;151.5;MUJER;ALICANTE
45;87.8;154.5;MUJER;ALICANTE
39;;;MUJER;ALICANTE
48;61.5;143;MUJER;ALICANTE
40;69;162;MUJER;ALICANTE
35;53;150;MUJER;ALICANTE
49;78.8;158.5;MUJER;ALICANTE
43;80;158;MUJER;ALICANTE
42;65.5;154;MUJER;ALICANTE
45;67;156.5;MUJER;ALICANTE
45;71.4;160;MUJER;ALICANTE
48;58.1;166;MUJER;ALICANTE
35;53;158;MUJER;ALICANTE
47;49.4;152;MUJER;ALICANTE
42;54.6;162;MUJER;ALICANTE
46;54.5;159;MUJER;ALICANTE
37;58.5;160.5;MUJER;ALICANTE
46;59.5;166;MUJER;ALICANTE
39;54;158;MUJER;ALICANTE
42;65.8;170.5;MUJER;ALICANTE
39;58.1;159.5;MUJER;ALICANTE
37;57.5;160.3;MUJER;ALICANTE
49;56.5;157.3;MUJER;ALICANTE
40;55.6;154;MUJER;ALICANTE
37;63.4;162.3;MUJER;ALICANTE
35;58;158;MUJER;ALICANTE
41;55.5;154;MUJER;ALICANTE
40;62.9;151.5;MUJER;ALICANTE
40;67.5;163;MUJER;ALICANTE
35;67;164;MUJER;ALICANTE
42;61.3;158.5;MUJER;ALICANTE
43;67.5;165;MUJER;ALICANTE
41;76.1;170.2;MUJER;ALICANTE
47;67.7;160;MUJER;ALICANTE
49;60.8;154;MUJER;ALICANTE
39;73.5;166.5;MUJER;ALICANTE
44;66;155;MUJER;ALICANTE
49;61.9;150.2;MUJER;ALICANTE
39;68.4;159.5;MUJER;ALICANTE
